input,output,category
"hi","Hi there! How can I help you today?","greeting"
"hello","Hello! How can I help you today?","greeting"
"hey","Hey there! How can I help you today?","greeting"
"good morning","Good morning! How can I help you today?","greeting"
"good afternoon","Good afternoon! How can I help you today?","greeting"
"good night","Goodnight! How can I help you today?","greeting"
"good day","Good day! How can I help you today?","greeting"
"goodmorning","Good morning! How can I help you today?","greeting"
"goodafternoon","Good afternoon! How can I help you today?","greeting"
"goodnight","Goodnight! How can I help you today?","greeting"
"goodday","Good day! How can I help you today?","greeting"
"ciao","Ciao! How can I help you today?","greeting"
"howdy","Howdy! How can I help you today?","greeting"
"hola","Hola! How can I help you today?","greeting"
"aloha","Aloha! How can I help you today?","greeting"
"ola","Ola! How can I help you today?","greeting"
"gday","G'day! How can I help you today?","greeting"
"good bye","Goodbye!","greeting"
"goodbye","Goodbye!","greeting"
"bye","Goodbye!","greeting"
"bye now","Goodbye!","greeting"
"cya","Goodbye!","greeting"
"seeya","Goodbye!","greeting"
"seeya later","Goodbye!","greeting"
"how are you?","I am good thank you, how are you today?","greeting"
"how are you today?","I am good thank you, how are you today?","greeting"
"i am good","That's good to hear! How can I help you today?","greeting"
"i am good thanks, how are you?","I am good also! How can I help you?","greeting"
"good thanks, how are you?","I am good also! How can I help you?","greeting"
"good thanks","That's good! How can I help you today?","greeting"
"i'm ok","Is there anything I can do to help?","greeting"
"i need help","What can I help you with?","help"
"what's up?","Not much. What can I help you with?","smalltalk"
"how's it going?","It's going, but it's good. How can I help you?","smalltalk"
"how's things?","Pretty good. I can't complain. How's things with you?","smalltalk"
"are you a bot?","I am. But I had a good trainer, so you can trust me. Does it bother you I'm a bot?","help"
"can I speak with a real person?","Unfortunately today you have me. But I was trained by a real person.","help"
"ok can you help me then","For sure! I'd be happy to help you. I specialise in weather, is that what you're here for?","help"
"what's your name?","Just bot. But you'll see I go by Go Travel just to stay on brand of course","smalltalk"
"how's your day going?","Same as every other day. How's your day going?","smalltalk"
"i'm bored","Well that's no fun. Want to hear a joke?","smalltalk"
"i'm lost. I need the weather","I hope you're in England and in need of the weather there, because that I can do","smalltalk"
"nice to meet you","Likewise!","smalltalk"
"thanks!","You're welcome!","gratitude"
"thank you","My pleasure!","gratitude"
"ty","You're welcome, friend!","gratitude"
"thx","Not a problem, happy to help!","gratitude"
"tell me a joke","Why don't scientists trust atoms? Because they make up everything","humour"
"what's your favourite colour?","I don't have one, as I'm a bot. And whatever I say I was told to say. Pink","smalltalk"
"ok","Do you have any other questions?","help"
